"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"151486","数据资产_STD(#23)","/版本迭代测试用例/v6.3.1/L1-L5内置属性逻辑优化(#8896)","","验证L5-1万条数据导出速率符合预期","存在数据源下1万个字段","1. 进入数据地图二级页面
2. 选择导出L5
3. 选择1万条字段数据的数据源，导出","1. 进入成功
2. 弹选择弹窗
3. 文件导出成功，文件内容正确，速率符合预期","1. 
2. 
3.","","2","功能测试","功能测试阶段","正常","0","1","3","通过","旺仔","2025-06-10","","0000-00-00","1","",""
"151485","数据资产_STD(#23)","/版本迭代测试用例/v6.3.1/L1-L5内置属性逻辑优化(#8896)","","验证L4-1万条数据导出速率符合预期","存在数据源下1万张表","1. 进入数据地图二级页面
2. 选择导出L4
3. 选择1万条表数据的数据源，导出","1. 进入成功
2. 弹选择弹窗
3. 文件导出成功，文件内容正确，速率符合预期","1. 
2. 
3.","","2","功能测试","功能测试阶段","正常","0","1","3","通过","旺仔","2025-06-10","","0000-00-00","1","",""
"151484","数据资产_STD(#23)","/版本迭代测试用例/v6.3.1/对接口优化，字段名称修改(#8895)","","验证【字段元模型】-【隐私等级】属性导入L5校验逻辑正确","本地已存在可导入的L5 文件","1. 进入【数据地图】页面
2. 选择导入L5
3. 选择L5文件，【隐私等级】不填，导入
4. 选择L5文件，【隐私等级】输入，导入","1. 进入成功
2. 弹选择文件框
3. 必填项校验导入失败
4. 导入成功","1. 
2. 
3. 
4.","","1","功能测试","功能测试阶段","正常","0","1","4","失败","旺仔","2025-06-10","","0000-00-00","1","",""
"151483","数据资产_STD(#23)","/版本迭代测试用例/v6.3.1/对接口优化，字段名称修改(#8895)","","验证【字段元模型】-【隐私等级】属性校验正常","无","1. 进入【数据地图】-表详情页面
2. 编辑表字段【隐私等级】
3. 【隐私等级】中文名展示
4. 编辑【隐私等级】信息","1. 进入成功
2. 必填项校验
3. 更新正确
4. 保存成功","1. 
2. 
3. 
4.","","2","功能测试","功能测试阶段","正常","0","1","4","通过","旺仔","2025-06-10","","0000-00-00","1","",""
"151482","数据资产_STD(#23)","/版本迭代测试用例/v6.3.1/对接口优化，字段名称修改(#8895)","","验证【字段元模型】-【隐私等级】属性支持修改","无","1. 进入【元数据】-【元数据模型】-【字段元模型】页面
2. 查看【隐私等级】属性
3. 点击【隐私等级】-【编辑】按钮
4. 【隐私等级】弹窗校验
5. 编辑【属性中文名】-“隐私等级“为“隐私等级_测试”
6. 编辑【非必填】-“非必填“为“必填”
7. 保存修改","1. 
2. 【编辑】按钮可操作，【删除】按钮置灰
3. 弹【隐私等级】编辑弹窗
4. 弹窗标题: 编辑属性属性名： security_Level - 不可编辑属性中文名： 隐私等级 - 可编辑属性类型： 枚举是否必填: 默认【非必填】- 可编辑应用数据源：全部-不可编辑
5. 编辑成功
6. 编辑成功
7. 保存成功， 【属性中文名】/【是否必填】字段值更新成功","1. 
2. 
3. 
4. 
5. 
6. 
7.","","2","功能测试","功能测试阶段","正常","0","1","7","通过","旺仔","2025-06-10","","0000-00-00","1","",""
"151481","数据资产_STD(#23)","/版本迭代测试用例/v6.3.1/对接口优化，字段名称修改(#8895)","","验证【字段元模型】-【安全等级】属性导入L5校验逻辑正确","本地已存在可导入的L5 文件","1. 进入【数据地图】页面
2. 选择导入L5
3. 选择L5文件，【安全等级】不填，导入
4. 选择L5文件，【安全等级】输入，导入","1. 进入成功
2. 弹选择文件框
3. 必填项校验导入失败
4. 导入成功","1. 
2. 
3. 
4.","","1","功能测试","功能测试阶段","正常","0","1","4","通过","旺仔","2025-06-10","","0000-00-00","1","",""
"151480","数据资产_STD(#23)","/版本迭代测试用例/v6.3.1/对接口优化，字段名称修改(#8895)","","验证【字段元模型】-【安全等级】属性校验正常","无","1. 进入【数据地图】-表详情页面
2. 编辑表字段【安全等级】
3. 【安全等级】中文名展示
4. 编辑【安全等级】信息","1. 进入成功
2. 必填项校验
3. 更新正确
4. 保存成功","1. 
2. 
3. 
4.","","2","功能测试","功能测试阶段","正常","0","1","4","通过","旺仔","2025-06-10","","0000-00-00","1","",""
"151479","数据资产_STD(#23)","/版本迭代测试用例/v6.3.1/对接口优化，字段名称修改(#8895)","","验证【字段元模型】-【安全等级】属性支持修改","无","1. 进入【元数据】-【元数据模型】-【字段元模型】页面
2. 查看【安全等级】属性
3. 点击【安全等级】-【编辑】按钮
4. 【安全等级】弹窗校验
5. 编辑【属性中文名】-“安全等级“为“安全等级_测试”
6. 编辑【非必填】-“非必填“为“必填”
7. 保存修改","1. 
2. 【编辑】按钮可操作，【删除】按钮置灰
3. 弹【安全等级】编辑弹窗
4. 弹窗标题: 编辑属性属性名： security_Level - 不可编辑属性中文名： 安全等级 - 可编辑属性类型： 枚举是否必填: 默认【非必填】- 可编辑应用数据源：全部-不可编辑
5. 编辑成功
6. 编辑成功
7. 保存成功， 【属性中文名】/【是否必填】字段值更新成功","1. 
2. 
3. 
4. 
5. 
6. 
7.","","2","功能测试","功能测试阶段","正常","0","1","7","通过","旺仔","2025-06-10","","0000-00-00","1","",""
"151208","数据资产_STD(#23)","/版本迭代测试用例/v6.3.1/太极质量报告(#8847)","","验证近期规则校验异常明细","无","1. 点击近期规则校验异常明细，点击查看详情
2. 查看详情页展示","1. 跳转到该条任务实例的详情页
2. 结果正确","1. 
2.","","2","功能测试","功能测试阶段","正常","0","1","2","通过","可颂","2025-06-03","","0000-00-00","1","",""
"151207","数据资产_STD(#23)","/版本迭代测试用例/v6.3.1/太极质量报告(#8847)","","验证质量分值变化趋势图是否正确","无","1. 进入综合报告，查看质量分值变化趋势图是否正确","1. 默认展示最近10天，横坐标为日期，纵坐标为分值；分数正确","1.","","2","功能测试","功能测试阶段","正常","0","1","1","通过","可颂","2025-06-03","","0000-00-00","1","",""
